infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,pluperfect 1p-s,pluperfect 2p-s,pluperfect 3p-s,pluperfect 1p-p,pluperfect 2p-p,pluperfect 3p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past imperative 1p-s,past imperative 2p-s,past imperative 3p-s,past imperative 1p-p,past imperative 2p-p,past imperative 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,simple past 1p-s,simple past 2p-s,simple past 3p-s,simple past 1p-p,simple past 2p-p,simple past 3p-p,gerund
créer,to create,FALSE,crée,crées,crée,créons,créez,créent,ai créé,as créé,a créé,avons créé,avez créé,ont créé,créais,créais,créait,créions,créiez,créaient,créerai,créeras,créera,créerons,créerez,créeront,créerais,créerais,créerait,créerions,créeriez,avais créé,avais créé,avait créé,avions créé,aviez créé,avaient créé,créeraient,crée,crées,crée,créions,créiez,créent,aurais créé,aurais créé,aurait créé,aurions créé,auriez créé,auraient créé,aurai créé,auras créé,aura créé,aurons créé,aurez créé,auront créé,N/A,crée,N/A,créons,créez,N/A,aie créé,aies créé,ait créé,ayons créé,ayez créé,aient créé,créasse,créasses,créât,créassions,créassiez,créassent,eusse créé,eusses créé,eût créé,eussions créé,eussiez créé,eussent créé,N/A,aie créé,N/A,ayons créé,ayez créé,N/A,eus créé,eus créé,eut créé,eûmes créé,eûtes créé,eurent créé,créai,créas,créa,créâmes,créâtes,créèrent,créant
déchirer,to rip,FALSE,déchire,déchires,déchire,déchirons,déchirez,déchirent,ai déchiré,as déchiré,a déchiré,avons déchiré,avez déchiré,ont déchiré,déchirais,déchirais,déchirait,déchirions,déchiriez,déchiraient,déchirerai,déchireras,déchirera,déchirerons,déchirerez,déchireront,déchirerais,déchirerais,déchirerait,déchirerions,déchireriez,avais déchiré,avais déchiré,avait déchiré,avions déchiré,aviez déchiré,avaient déchiré,déchireraient,déchire,déchires,déchire,déchirions,déchiriez,déchirent,aurais déchiré,aurais déchiré,aurait déchiré,aurions déchiré,auriez déchiré,auraient déchiré,aurai déchiré,auras déchiré,aura déchiré,aurons déchiré,aurez déchiré,auront déchiré,N/A,déchire,N/A,déchirons,déchirez,N/A,aie déchiré,aies déchiré,ait déchiré,ayons déchiré,ayez déchiré,aient déchiré,déchirasse,déchirasses,déchirât,déchirassions,déchirassiez,déchirassent,eusse déchiré,eusses déchiré,eût déchiré,eussions déchiré,eussiez déchiré,eussent déchiré,N/A,aie déchiré,N/A,ayons déchiré,ayez déchiré,N/A,eus déchiré,eus déchiré,eut déchiré,eûmes déchiré,eûtes déchiré,eurent déchiré,déchirai,déchiras,déchira,déchirâmes,déchirâtes,déchirèrent,déchirant
éclore,to hatch,TRUE,éclos,éclos,éclôt,éclosons,éclosez,éclosent,ai éclos,as éclos,a éclos,avons éclos,avez éclos,ont éclos,éclosais,éclosais,éclosait,éclosions,éclosiez,éclosaient,éclorai,écloras,éclora,éclorons,éclorez,écloront,éclorais,éclorais,éclorait,éclorions,écloriez,avais éclos,avais éclos,avait éclos,avions éclos,aviez éclos,avaient éclos,écloraient,éclose,écloses,éclose,éclosions,éclosiez,éclosent,aurais éclos,aurais éclos,aurait éclos,aurions éclos,auriez éclos,auraient éclos,aurai éclos,auras éclos,aura éclos,aurons éclos,aurez éclos,auront éclos,N/A,éclos,N/A,éclosons,éclosez,N/A,aie éclos,aies éclos,ait éclos,ayons éclos,ayez éclos,aient éclos,éclusse,éclusses,éclût,éclussions,éclussiez,éclussent,eusse éclos,eusses éclos,eût éclos,eussions éclos,eussiez éclos,eussent éclos,N/A,aie éclos,N/A,ayons éclos,ayez éclos,N/A,eus éclos,eus éclos,eut éclos,eûmes éclos,eûtes éclos,eurent éclos,éclus,éclus,éclut,éclûmes,éclûtes,éclurent,éclosant
culpabiliser,to make one feel guilty,FALSE,culpabilise,culpabilises,culpabilise,culpabilisons,culpabilisez,culpabilisent,ai culpabilisé,as culpabilisé,a culpabilisé,avons culpabilisé,avez culpabilisé,ont culpabilisé,culpabilisais,culpabilisais,culpabilisait,culpabilisions,culpabilisiez,culpabilisaient,culpabiliserai,culpabiliseras,culpabilisera,culpabiliserons,culpabiliserez,culpabiliseront,culpabiliserais,culpabiliserais,culpabiliserait,culpabiliserions,culpabiliseriez,avais culpabilisé,avais culpabilisé,avait culpabilisé,avions culpabilisé,aviez culpabilisé,avaient culpabilisé,culpabiliseraient,culpabilise,culpabilises,culpabilise,culpabilisions,culpabilisiez,culpabilisent,aurais culpabilisé,aurais culpabilisé,aurait culpabilisé,aurions culpabilisé,auriez culpabilisé,auraient culpabilisé,aurai culpabilisé,auras culpabilisé,aura culpabilisé,aurons culpabilisé,aurez culpabilisé,auront culpabilisé,N/A,culpabilise,N/A,culpabilisons,culpabilisez,N/A,aie culpabilisé,aies culpabilisé,ait culpabilisé,ayons culpabilisé,ayez culpabilisé,aient culpabilisé,culpabilisasse,culpabilisasses,culpabilisât,culpabilisassions,culpabilisassiez,culpabilisassent,eusse culpabilisé,eusses culpabilisé,eût culpabilisé,eussions culpabilisé,eussiez culpabilisé,eussent culpabilisé,N/A,aie culpabilisé,N/A,ayons culpabilisé,ayez culpabilisé,N/A,eus culpabilisé,eus culpabilisé,eut culpabilisé,eûmes culpabilisé,eûtes culpabilisé,eurent culpabilisé,culpabilisai,culpabilisas,culpabilisa,culpabilisâmes,culpabilisâtes,culpabilisèrent,culpabilisant
débattre,to debate,TRUE,débats,débats,débat,débattons,débattez,débattent,ai débattu,as débattu,a débattu,avons débattu,avez débattu,ont débattu,débattais,débattais,débattait,débattions,débattiez,débattaient,débattrai,débattras,débattra,débattrons,débattrez,débattront,débattrais,débattrais,débattrait,débattrions,débattriez,avais débattu,avais débattu,avait débattu,avions débattu,aviez débattu,avaient débattu,débattraient,débatte,débattes,débatte,débattions,débattiez,débattent,aurais débattu,aurais débattu,aurait débattu,aurions débattu,auriez débattu,auraient débattu,aurai débattu,auras débattu,aura débattu,aurons débattu,aurez débattu,auront débattu,N/A,débats,N/A,débattons,débattez,N/A,aie débattu,aies débattu,ait débattu,ayons débattu,ayez débattu,aient débattu,débattisse,débattisses,débattît,débattissions,débattissiez,débattissent,eusse débattu,eusses débattu,eût débattu,eussions débattu,eussiez débattu,eussent débattu,N/A,aie débattu,N/A,ayons débattu,ayez débattu,N/A,eus débattu,eus débattu,eut débattu,eûmes débattu,eûtes débattu,eurent débattu,débattis,débattis,débattit,débattîmes,débattîtes,débattirent,débattant
décider,to decide,FALSE,décide,décides,décide,décidons,décidez,décident,ai décidé,as décidé,a décidé,avons décidé,avez décidé,ont décidé,décidais,décidais,décidait,décidions,décidiez,décidaient,déciderai,décideras,décidera,déciderons,déciderez,décideront,déciderais,déciderais,déciderait,déciderions,décideriez,avais décidé,avais décidé,avait décidé,avions décidé,aviez décidé,avaient décidé,décideraient,décide,décides,décide,décidions,décidiez,décident,aurais décidé,aurais décidé,aurait décidé,aurions décidé,auriez décidé,auraient décidé,aurai décidé,auras décidé,aura décidé,aurons décidé,aurez décidé,auront décidé,N/A,décide,N/A,décidons,décidez,N/A,aie décidé,aies décidé,ait décidé,ayons décidé,ayez décidé,aient décidé,décidasse,décidasses,décidât,décidassions,décidassiez,décidassent,eusse décidé,eusses décidé,eût décidé,eussions décidé,eussiez décidé,eussent décidé,N/A,aie décidé,N/A,ayons décidé,ayez décidé,N/A,eus décidé,eus décidé,eut décidé,eûmes décidé,eûtes décidé,eurent décidé,décidai,décidas,décida,décidâmes,décidâtes,décidèrent,décidant
craindre,to fear,TRUE,crains,crains,craint,craignons,craignez,craignent,ai craint,as craint,a craint,avons craint,avez craint,ont craint,craignais,craignais,craignait,craignions,craigniez,craignaient,craindrai,craindras,craindra,craindrons,craindrez,craindront,craindrais,craindrais,craindrait,craindrions,craindriez,avais craint,avais craint,avait craint,avions craint,aviez craint,avaient craint,craindraient,craigne,craignes,craigne,craignions,craigniez,craignent,aurais craint,aurais craint,aurait craint,aurions craint,auriez craint,auraient craint,aurai craint,auras craint,aura craint,aurons craint,aurez craint,auront craint,N/A,crains,N/A,craignons,craignez,N/A,aie craint,aies craint,ait craint,ayons craint,ayez craint,aient craint,craignisse,craignisses,craignît,craignissions,craignissiez,craignissent,eusse craint,eusses craint,eût craint,eussions craint,eussiez craint,eussent craint,N/A,aie craint,N/A,ayons craint,ayez craint,N/A,eus craint,eus craint,eut craint,eûmes craint,eûtes craint,eurent craint,craignis,craignis,craignit,craignîmes,craignîtes,craignirent,craignant
couvrir,to cover,TRUE,couvre,couvres,couvre,couvrons,couvrez,couvrent,ai couvert,as couvert,a couvert,avons couvert,avez couvert,ont couvert,couvrais,couvrais,couvrait,couvrions,couvriez,couvraient,couvrirai,couvriras,couvrira,couvrirons,couvrirez,couvriront,couvrirais,couvrirais,couvrirait,couvririons,couvririez,avais couvert,avais couvert,avait couvert,avions couvert,aviez couvert,avaient couvert,couvriraient,couvre,couvres,couvre,couvrions,couvriez,couvrent,aurais couvert,aurais couvert,aurait couvert,aurions couvert,auriez couvert,auraient couvert,aurai couvert,auras couvert,aura couvert,aurons couvert,aurez couvert,auront couvert,N/A,couvre,N/A,couvrons,couvrez,N/A,aie couvert,aies couvert,ait couvert,ayons couvert,ayez couvert,aient couvert,couvrisse,couvrisses,couvrît,couvrissions,couvrissiez,couvrissent,eusse couvert,eusses couvert,eût couvert,eussions couvert,eussiez couvert,eussent couvert,N/A,aie couvert,N/A,ayons couvert,ayez couvert,N/A,eus couvert,eus couvert,eut couvert,eûmes couvert,eûtes couvert,eurent couvert,couvris,couvris,couvrit,couvrîmes,couvrîtes,couvrirent,couvrant
coûter,to cost,FALSE,coûte,coûtes,coûte,coûtons,coûtez,coûtent,ai coûté,as coûté,a coûté,avons coûté,avez coûté,ont coûté,coûtais,coûtais,coûtait,coûtions,coûtiez,coûtaient,coûterai,coûteras,coûtera,coûterons,coûterez,coûteront,coûterais,coûterais,coûterait,coûterions,coûteriez,avais coûté,avais coûté,avait coûté,avions coûté,aviez coûté,avaient coûté,coûteraient,coûte,coûtes,coûte,coûtions,coûtiez,coûtent,aurais coûté,aurais coûté,aurait coûté,aurions coûté,auriez coûté,auraient coûté,aurai coûté,auras coûté,aura coûté,aurons coûté,aurez coûté,auront coûté,N/A,coûte,N/A,coûtons,coûtez,N/A,aie coûté,aies coûté,ait coûté,ayons coûté,ayez coûté,aient coûté,coûtasse,coûtasses,coûtât,coûtassions,coûtassiez,coûtassent,eusse coûté,eusses coûté,eût coûté,eussions coûté,eussiez coûté,eussent coûté,N/A,aie coûté,N/A,ayons coûté,ayez coûté,N/A,eus coûté,eus coûté,eut coûté,eûmes coûté,eûtes coûté,eurent coûté,coûtai,coûtas,coûta,coûtâmes,coûtâtes,coûtèrent,coûtant
découvrir,to discover,TRUE,découvre,découvres,découvre,découvrons,découvrez,découvrent,ai découvert,as découvert,a découvert,avons découvert,avez découvert,ont découvert,découvrais,découvrais,découvrait,découvrions,découvriez,découvraient,découvrirai,découvriras,découvrira,découvrirons,découvrirez,découvriront,découvrirais,découvrirais,découvrirait,découvririons,découvririez,avais découvert,avais découvert,avait découvert,avions découvert,aviez découvert,avaient découvert,découvriraient,découvre,découvres,découvre,découvrions,découvriez,découvrent,aurais découvert,aurais découvert,aurait découvert,aurions découvert,auriez découvert,auraient découvert,aurai découvert,auras découvert,aura découvert,aurons découvert,aurez découvert,auront découvert,N/A,découvre,N/A,découvrons,découvrez,N/A,aie découvert,aies découvert,ait découvert,ayons découvert,ayez découvert,aient découvert,découvrisse,découvrisses,découvrît,découvrissions,découvrissiez,découvrissent,eusse découvert,eusses découvert,eût découvert,eussions découvert,eussiez découvert,eussent découvert,N/A,aie découvert,N/A,ayons découvert,ayez découvert,N/A,eus découvert,eus découvert,eut découvert,eûmes découvert,eûtes découvert,eurent découvert,découvris,découvris,découvrit,découvrîmes,découvrîtes,découvrirent,découvrant
défaillir,to faint,TRUE,défaille,défailles,défaille,défaillons,défaillez,défaillent,ai défailli,as défailli,a défailli,avons défailli,avez défailli,ont défailli,défaillais,défaillais,défaillait,défaillions,défailliez,défaillaient,défaillirai,défailliras,défaillira,défaillirons,défaillirez,défailliront,défaillirais,défaillirais,défaillirait,défaillirions,défailliriez,avais défailli,avais défailli,avait défailli,avions défailli,aviez défailli,avaient défailli,défailliraient,défaille,défailles,défaille,défaillions,défailliez,défaillent,aurais défailli,aurais défailli,aurait défailli,aurions défailli,auriez défailli,auraient défailli,aurai défailli,auras défailli,aura défailli,aurons défailli,aurez défailli,auront défailli,N/A,défaille,N/A,défaillons,défaillez,N/A,aie défailli,aies défailli,ait défailli,ayons défailli,ayez défailli,aient défailli,défaillisse,défaillisses,défaillît,défaillissions,défaillissiez,défaillissent,eusse défailli,eusses défailli,eût défailli,eussions défailli,eussiez défailli,eussent défailli,N/A,aie défailli,N/A,ayons défailli,ayez défailli,N/A,eus défailli,eus défailli,eut défailli,eûmes défailli,eûtes défailli,eurent défailli,défaillis,défaillis,défaillit,défaillîmes,défaillîtes,défaillirent,défaillant
déconfire,to be beaten,TRUE,déconfis,déconfis,déconfit,déconfisons,déconfisez,déconfisent,ai déconfisant,as déconfisant,a déconfisant,avons déconfisant,avez déconfisant,ont déconfisant,déconfisais,déconfisais,déconfisait,déconfisions,déconfisiez,déconfisaient,déconfirai,déconfiras,déconfira,déconfirons,déconfirez,déconfiront,déconfirais,déconfirais,déconfirait,déconfirions,déconfiriez,avais déconfisant,avais déconfisant,avait déconfisant,avions déconfisant,aviez déconfisant,avaient déconfisant,déconfiraient,déconfise,déconfises,déconfise,déconfisions,déconfisiez,déconfisent,aurais déconfisant,aurais déconfisant,aurait déconfisant,aurions déconfisant,auriez déconfisant,auraient déconfisant,aurai déconfisant,auras déconfisant,aura déconfisant,aurons déconfisant,aurez déconfisant,auront déconfisant,N/A,déconfis,N/A,déconfisons,déconfisez,N/A,aie déconfisant,aies déconfisant,ait déconfisant,ayons déconfisant,ayez déconfisant,aient déconfisant,déconfisisse,déconfisisses,déconfisît,déconfisissions,déconfisissiez,déconfisissent,eusse déconfisant,eusses déconfisant,eût déconfisant,eussions déconfisant,eussiez déconfisant,eussent déconfisant,N/A,aie déconfisant,N/A,ayons déconfisant,ayez déconfisant,N/A,eus déconfisant,eus déconfisant,eut déconfisant,eûmes déconfisant,eûtes déconfisant,eurent déconfisant,déconfis,déconfis,déconfit,déconfîmes,déconfîtes,déconfirent,déconfit
décourager,to discourage,FALSE,décourage,décourages,décourage,décourageons,découragez,découragent,ai découragé,as découragé,a découragé,avons découragé,avez découragé,ont découragé,décourageais,décourageais,décourageait,découragions,découragiez,décourageaient,découragerai,décourageras,découragera,découragerons,découragerez,décourageront,découragerais,découragerais,découragerait,découragerions,décourageriez,avais découragé,avais découragé,avait découragé,avions découragé,aviez découragé,avaient découragé,décourageraient,décourage,décourages,décourage,découragions,découragiez,découragent,aurais découragé,aurais découragé,aurait découragé,aurions découragé,auriez découragé,auraient découragé,aurai découragé,auras découragé,aura découragé,aurons découragé,aurez découragé,auront découragé,N/A,décourage,N/A,décourageons,découragez,N/A,aie découragé,aies découragé,ait découragé,ayons découragé,ayez découragé,aient découragé,décourageasse,décourageasses,décourageât,décourageassions,décourageassiez,décourageassent,eusse découragé,eusses découragé,eût découragé,eussions découragé,eussiez découragé,eussent découragé,N/A,aie découragé,N/A,ayons découragé,ayez découragé,N/A,eus découragé,eus découragé,eut découragé,eûmes découragé,eûtes découragé,eurent découragé,décourageai,décourageas,découragea,décourageâmes,décourageâtes,découragèrent,décourageant
dégager,to free,FALSE,dégage,dégages,dégage,dégageons,dégagez,dégagent,ai dégagé,as dégagé,a dégagé,avons dégagé,avez dégagé,ont dégagé,dégageais,dégageais,dégageait,dégagions,dégagiez,dégageaient,dégagerai,dégageras,dégagera,dégagerons,dégagerez,dégageront,dégagerais,dégagerais,dégagerait,dégagerions,dégageriez,avais dégagé,avais dégagé,avait dégagé,avions dégagé,aviez dégagé,avaient dégagé,dégageraient,dégage,dégages,dégage,dégagions,dégagiez,dégagent,aurais dégagé,aurais dégagé,aurait dégagé,aurions dégagé,auriez dégagé,auraient dégagé,aurai dégagé,auras dégagé,aura dégagé,aurons dégagé,aurez dégagé,auront dégagé,N/A,dégage,N/A,dégageons,dégagez,N/A,aie dégagé,aies dégagé,ait dégagé,ayons dégagé,ayez dégagé,aient dégagé,dégageasse,dégageasses,dégageât,dégageassions,dégageassiez,dégageassent,eusse dégagé,eusses dégagé,eût dégagé,eussions dégagé,eussiez dégagé,eussent dégagé,N/A,aie dégagé,N/A,ayons dégagé,ayez dégagé,N/A,eus dégagé,eus dégagé,eut dégagé,eûmes dégagé,eûtes dégagé,eurent dégagé,dégageai,dégageas,dégagea,dégageâmes,dégageâtes,dégagèrent,dégageant
découdre,to unpick,TRUE,découds,découds,découd,décousons,décousez,décousent,ai décousu,as décousu,a décousu,avons décousu,avez décousu,ont décousu,décousais,décousais,décousait,décousions,décousiez,décousaient,découdrai,découdras,découdra,découdrons,découdrez,découdront,découdrais,découdrais,découdrait,découdrions,découdriez,avais décousu,avais décousu,avait décousu,avions décousu,aviez décousu,avaient décousu,découdraient,découse,découses,découse,décousions,décousiez,décousent,aurais décousu,aurais décousu,aurait décousu,aurions décousu,auriez décousu,auraient décousu,aurai décousu,auras décousu,aura décousu,aurons décousu,aurez décousu,auront décousu,N/A,découds,N/A,décousons,décousez,N/A,aie décousu,aies décousu,ait décousu,ayons décousu,ayez décousu,aient décousu,décousisse,décousisses,décousît,décousissions,décousissiez,décousissent,eusse décousu,eusses décousu,eût décousu,eussions décousu,eussiez décousu,eussent décousu,N/A,aie décousu,N/A,ayons décousu,ayez décousu,N/A,eus décousu,eus décousu,eut décousu,eûmes décousu,eûtes décousu,eurent décousu,décousis,décousis,décousit,décousîmes,décousîtes,décousirent,décousant
dédire,to retract,TRUE,dédis,dédis,dédit,dédisons,dédisez,dédisent,ai dédit,as dédit,a dédit,avons dédit,avez dédit,ont dédit,dédisais,dédisais,dédisait,dédisions,dédisiez,dédisaient,dédirai,dédiras,dédira,dédirons,dédirez,dédiront,dédirais,dédirais,dédirait,dédirions,dédiriez,avais dédit,avais dédit,avait dédit,avions dédit,aviez dédit,avaient dédit,dédiraient,dédise,dédises,dédise,dédisions,dédisiez,dédisent,aurais dédit,aurais dédit,aurait dédit,aurions dédit,auriez dédit,auraient dédit,aurai dédit,auras dédit,aura dédit,aurons dédit,aurez dédit,auront dédit,N/A,dédis,N/A,dédisons,dédisez,N/A,aie dédit,aies dédit,ait dédit,ayons dédit,ayez dédit,aient dédit,dédisse,dédisses,dédît,dédissions,dédissiez,dédissent,eusse dédit,eusses dédit,eût dédit,eussions dédit,eussiez dédit,eussent dédit,N/A,aie dédit,N/A,ayons dédit,ayez dédit,N/A,eus dédit,eus dédit,eut dédit,eûmes dédit,eûtes dédit,eurent dédit,dédis,dédis,dédit,dédîmes,dédîtes,dédirent,dédisant
défendre,to defend,TRUE,défends,défends,défend,défendons,défendez,défendent,ai défendu,as défendu,a défendu,avons défendu,avez défendu,ont défendu,défendais,défendais,défendait,défendions,défendiez,défendaient,défendrai,défendras,défendra,défendrons,défendrez,défendront,défendrais,défendrais,défendrait,défendrions,défendriez,avais défendu,avais défendu,avait défendu,avions défendu,aviez défendu,avaient défendu,défendraient,défende,défendes,défende,défendions,défendiez,défendent,aurais défendu,aurais défendu,aurait défendu,aurions défendu,auriez défendu,auraient défendu,aurai défendu,auras défendu,aura défendu,aurons défendu,aurez défendu,auront défendu,N/A,défends,N/A,défendons,défendez,N/A,aie défendu,aies défendu,ait défendu,ayons défendu,ayez défendu,aient défendu,défendisse,défendisses,défendît,défendissions,défendissiez,défendissent,eusse défendu,eusses défendu,eût défendu,eussions défendu,eussiez défendu,eussent défendu,N/A,aie défendu,N/A,ayons défendu,ayez défendu,N/A,eus défendu,eus défendu,eut défendu,eûmes défendu,eûtes défendu,eurent défendu,défendis,défendis,défendit,défendîmes,défendîtes,défendirent,défendant
démolir,to demolish,FALSE,démolis,démolis,démolit,démolissons,démolissez,démolissent,ai démoli,as démoli,a démoli,avons démoli,avez démoli,ont démoli,démolissais,démolissais,démolissait,démolissions,démolissiez,démolissaient,démolirai,démoliras,démolira,démolirons,démolirez,démoliront,démolirais,démolirais,démolirait,démolirions,démoliriez,avais démoli,avais démoli,avait démoli,avions démoli,aviez démoli,avaient démoli,démoliraient,démolisse,démolisses,démolisse,démolissions,démolissiez,démolissent,aurais démoli,aurais démoli,aurait démoli,aurions démoli,auriez démoli,auraient démoli,aurai démoli,auras démoli,aura démoli,aurons démoli,aurez démoli,auront démoli,N/A,démolis,N/A,démolissons,démolissez,N/A,aie démoli,aies démoli,ait démoli,ayons démoli,ayez démoli,aient démoli,démolisse,démolisses,démolît,démolissions,démolissiez,démolissent,eusse démoli,eusses démoli,eût démoli,eussions démoli,eussiez démoli,eussent démoli,N/A,aie démoli,N/A,ayons démoli,ayez démoli,N/A,eus démoli,eus démoli,eut démoli,eûmes démoli,eûtes démoli,eurent démoli,démolis,démolis,démolit,démolîmes,démolîtes,démolirent,démolissant
demeurer,to live/stay,FALSE,demeure,demeures,demeure,demeurons,demeurez,demeurent,ai demeuré,as demeuré,a demeuré,avons demeuré,avez demeuré,ont demeuré,demeurais,demeurais,demeurait,demeurions,demeuriez,demeuraient,demeurerai,demeureras,demeurera,demeurerons,demeurerez,demeureront,demeurerais,demeurerais,demeurerait,demeurerions,demeureriez,avais demeuré,avais demeuré,avait demeuré,avions demeuré,aviez demeuré,avaient demeuré,demeureraient,demeure,demeures,demeure,demeurions,demeuriez,demeurent,aurais demeuré,aurais demeuré,aurait demeuré,aurions demeuré,auriez demeuré,auraient demeuré,aurai demeuré,auras demeuré,aura demeuré,aurons demeuré,aurez demeuré,auront demeuré,N/A,demeure,N/A,demeurons,demeurez,N/A,aie demeuré,aies demeuré,ait demeuré,ayons demeuré,ayez demeuré,aient demeuré,demeurasse,demeurasses,demeurât,demeurassions,demeurassiez,demeurassent,eusse demeuré,eusses demeuré,eût demeuré,eussions demeuré,eussiez demeuré,eussent demeuré,N/A,aie demeuré,N/A,ayons demeuré,ayez demeuré,N/A,eus demeuré,eus demeuré,eut demeuré,eûmes demeuré,eûtes demeuré,eurent demeuré,demeurai,demeuras,demeura,demeurâmes,demeurâtes,demeurèrent,demeurant
déjeuner,to have lunch,FALSE,déjeune,déjeunes,déjeune,déjeunons,déjeunez,déjeunent,ai déjeuné,as déjeuné,a déjeuné,avons déjeuné,avez déjeuné,ont déjeuné,déjeunais,déjeunais,déjeunait,déjeunions,déjeuniez,déjeunaient,déjeunerai,déjeuneras,déjeunera,déjeunerons,déjeunerez,déjeuneront,déjeunerais,déjeunerais,déjeunerait,déjeunerions,déjeuneriez,avais déjeuné,avais déjeuné,avait déjeuné,avions déjeuné,aviez déjeuné,avaient déjeuné,déjeuneraient,déjeune,déjeunes,déjeune,déjeunions,déjeuniez,déjeunent,aurais déjeuné,aurais déjeuné,aurait déjeuné,aurions déjeuné,auriez déjeuné,auraient déjeuné,aurai déjeuné,auras déjeuné,aura déjeuné,aurons déjeuné,aurez déjeuné,auront déjeuné,N/A,déjeune,N/A,déjeunons,déjeunez,N/A,aie déjeuné,aies déjeuné,ait déjeuné,ayons déjeuné,ayez déjeuné,aient déjeuné,déjeunasse,déjeunasses,déjeunât,déjeunassions,déjeunassiez,déjeunassent,eusse déjeuné,eusses déjeuné,eût déjeuné,eussions déjeuné,eussiez déjeuné,eussent déjeuné,N/A,aie déjeuné,N/A,ayons déjeuné,ayez déjeuné,N/A,eus déjeuné,eus déjeuné,eut déjeuné,eûmes déjeuné,eûtes déjeuné,eurent déjeuné,déjeunai,déjeunas,déjeuna,déjeunâmes,déjeunâtes,déjeunèrent,déjeunant
décrire,to describe,TRUE,décris,décris,décrit,décrivons,décrivez,décrivent,ai décrit,as décrit,a décrit,avons décrit,avez décrit,ont décrit,décrivais,décrivais,décrivait,décrivions,décriviez,décrivaient,décrirai,décriras,décrira,décrirons,décrirez,décriront,décrirais,décrirais,décrirait,décririons,décririez,avais décrit,avais décrit,avait décrit,avions décrit,aviez décrit,avaient décrit,décriraient,décrive,décrives,décrive,décrivions,décriviez,décrivent,aurais décrit,aurais décrit,aurait décrit,aurions décrit,auriez décrit,auraient décrit,aurai décrit,auras décrit,aura décrit,aurons décrit,aurez décrit,auront décrit,N/A,décris,N/A,décrivons,décrivez,N/A,aie décrit,aies décrit,ait décrit,ayons décrit,ayez décrit,aient décrit,décrivisse,décrivisses,décrivît,décrivissions,décrivissiez,décrivissent,eusse décrit,eusses décrit,eût décrit,eussions décrit,eussiez décrit,eussent décrit,N/A,aie décrit,N/A,ayons décrit,ayez décrit,N/A,eus décrit,eus décrit,eut décrit,eûmes décrit,eûtes décrit,eurent décrit,décrivis,décrivis,décrivit,décrivîmes,décrivîtes,décrivirent,décrivant
défricher,to lay groundwork,FALSE,défriche,défriches,défriche,défrichons,défrichez,défrichent,ai défriché,as défriché,a défriché,avons défriché,avez défriché,ont défriché,défrichais,défrichais,défrichait,défrichions,défrichiez,défrichaient,défricherai,défricheras,défrichera,défricherons,défricherez,défricheront,défricherais,défricherais,défricherait,défricherions,défricheriez,avais défriché,avais défriché,avait défriché,avions défriché,aviez défriché,avaient défriché,défricheraient,défriche,défriches,défriche,défrichions,défrichiez,défrichent,aurais défriché,aurais défriché,aurait défriché,aurions défriché,auriez défriché,auraient défriché,aurai défriché,auras défriché,aura défriché,aurons défriché,aurez défriché,auront défriché,N/A,défriche,N/A,défrichons,défrichez,N/A,aie défriché,aies défriché,ait défriché,ayons défriché,ayez défriché,aient défriché,défrichasse,défrichasses,défrichât,défrichassions,défrichassiez,défrichassent,eusse défriché,eusses défriché,eût défriché,eussions défriché,eussiez défriché,eussent défriché,N/A,aie défriché,N/A,ayons défriché,ayez défriché,N/A,eus défriché,eus défriché,eut défriché,eûmes défriché,eûtes défriché,eurent défriché,défrichai,défrichas,défricha,défrichâmes,défrichâtes,défrichèrent,défrichant
